iter	Passed	Remaining
0	4	4393
1	8	4446
2	12	4026
3	15	3929
4	20	4028
5	25	4206
6	28	4012
7	31	3941
8	35	3933
9	39	3927
10	44	3959
11	46	3799
12	48	3694
13	52	3708
14	56	3697
15	60	3695
16	63	3673
17	67	3688
18	71	3684
19	74	3671
20	78	3675
21	81	3615
22	85	3614
23	89	3619
24	92	3626
25	96	3633
26	100	3635
27	104	3626
28	107	3600
29	111	3608
30	114	3576
31	116	3517
32	119	3496
33	122	3481
34	126	3482
35	129	3477
36	133	3462
37	135	3436
38	139	3444
39	143	3436
40	146	3432
41	150	3431
42	154	3431
43	157	3431
44	161	3425
45	163	3382
46	164	3341
47	168	3345
48	172	3344
49	176	3347
50	179	3344
51	183	3339
52	185	3308
53	188	3303
54	192	3301
55	196	3305
56	199	3293
57	202	3284
58	205	3273
59	208	3265
60	210	3240
61	213	3229
62	216	3226
63	220	3225
64	224	3224
65	228	3231
66	231	3227
67	236	3239
68	240	3244
69	245	3259
70	249	3266
71	254	3284
72	258	3286
73	261	3275
74	266	3281
75	269	3273
76	272	3263
77	276	3270
78	280	3273
79	284	3273
80	289	3286
81	293	3286
82	298	3302
83	302	3303
84	306	3295
85	308	3274
86	309	3246
87	314	3260
88	319	3269
89	324	3276
90	328	3283
91	332	3283
92	337	3287
93	340	3285
94	345	3287
95	349	3291
96	353	3286
97	354	3265
98	357	3253
99	360	3242
100	363	3238
101	368	3247
102	372	3241
103	376	3244
104	381	3253
105	385	3251
106	391	3263
107	395	3266
108	398	3259
109	403	3266
110	408	3268
111	412	3269
112	414	3257
113	420	3266
114	423	3255
115	426	3250
116	428	3232
117	432	3229
118	436	3230
119	441	3235
120	445	3234
121	449	3235
122	451	3221
123	456	3223
124	457	3205
125	461	3202
126	466	3206
127	470	3205
128	474	3205
129	480	3214
130	484	3213
131	489	3219
132	494	3222
133	496	3206
134	497	3184
135	498	3169
136	501	3161
137	505	3156
138	510	3159
139	512	3145
140	516	3147
141	520	3144
142	521	3127
143	526	3132
144	530	3129
145	535	3130
146	540	3135
147	546	3146
148	675	3856
149	680	3854
150	681	3829
151	685	3825
152	690	3820
153	693	3811
154	698	3807
155	702	3798
156	707	3799
157	712	3794
158	714	3777
159	718	3773
160	721	3757
161	724	3745
162	727	3734
163	730	3724
164	733	3709
165	737	3707
166	740	3693
167	743	3683
168	747	3676
169	752	3671
170	756	3667
171	760	3661
172	765	3659
173	770	3655
174	774	3651
175	779	3647
176	782	3636
177	785	3628
178	787	3612
179	789	3597
180	791	3582
181	794	3572
182	798	3566
183	802	3559
184	807	3555
185	811	3552
186	814	3539
187	815	3523
188	817	3507
189	819	3494
190	823	3488
191	827	3483
192	830	3474
193	834	3468
194	837	3456
195	839	3442
196	842	3434
197	844	3421
198	848	3417
199	852	3411
200	856	3405
201	860	3400
202	864	3393
203	868	3387
204	872	3383
205	876	3376
206	879	3369
207	881	3355
208	883	3345
209	885	3331
210	888	3321
211	891	3314
212	895	3308
213	899	3304
214	903	3299
215	905	3285
216	909	3280
217	912	3274
218	916	3270
219	920	3263
220	924	3259
221	928	3254
222	931	3246
223	933	3233
224	936	3224
225	940	3219
226	943	3213
227	947	3207
228	951	3202
229	953	3193
230	958	3189
231	962	3184
232	966	3180
233	969	3173
234	971	3162
235	975	3157
236	979	3151
237	981	3141
238	982	3127
239	983	3114
240	987	3111
241	989	3099
242	993	3094
243	997	3089
244	1000	3083
245	1004	3078
246	1008	3072
247	1012	3069
248	1016	3064
249	1020	3061
250	1024	3056
251	1027	3049
252	1029	3039
253	1033	3034
254	1037	3030
255	1038	3019
256	1041	3009
257	1044	3003
258	1048	2999
259	1051	2992
260	1055	2987
261	1059	2983
262	1063	2979
263	1066	2973
264	1070	2968
265	1075	2967
266	1077	2957
267	1079	2947
268	1127	3062
269	1138	3077
270	1145	3080
271	1152	3084
272	1160	3090
273	1167	3092
274	1172	3090
275	1174	3080
276	1176	3071
277	1179	3064
278	1185	3062
279	1191	3063
280	1194	3057
281	1198	3051
282	1202	3046
283	1206	3042
284	1211	3039
285	1215	3034
286	1219	3029
287	1221	3020
288	1223	3011
289	1226	3003
290	1230	2997
291	1234	2992
292	1237	2986
293	1241	2981
294	1245	2975
295	1249	2971
296	1253	2966
297	1256	2960
298	1260	2955
299	1264	2950
300	1267	2943
301	1269	2934
302	1271	2924
303	1274	2917
304	1278	2912
305	1281	2907
306	1285	2902
307	1289	2897
308	1293	2892
309	1296	2886
310	1300	2881
311	1304	2876
312	1308	2871
313	1313	2870
314	1318	2866
315	1322	2861
316	1326	2858
317	1331	2855
318	1336	2852
319	1340	2849
320	1345	2845
321	1349	2841
322	1353	2837
323	1359	2835
324	1363	2831
325	1367	2826
326	1371	2823
327	1377	2822
