iter	Logloss	Accuracy
0	0.677373126	0.7929292929
1	0.6606181476	0.803030303
2	0.6480804811	0.803030303
3	0.634056836	0.8047138047
4	0.6222855049	0.8047138047
5	0.6110495923	0.8063973064
6	0.59788117	0.8063973064
7	0.5874380023	0.8097643098
8	0.5778792497	0.8097643098
9	0.5685230832	0.8080808081
10	0.5597293025	0.8114478114
11	0.5507892119	0.8080808081
12	0.5425763394	0.8063973064
13	0.5363637619	0.8047138047
14	0.5292873389	0.8080808081
15	0.5236530534	0.8063973064
16	0.518498591	0.8063973064
17	0.5120560818	0.8097643098
18	0.5092298789	0.8063973064
19	0.4994694136	0.8114478114
20	0.4946741459	0.8097643098
21	0.4902918938	0.8097643098
22	0.4858638077	0.8097643098
23	0.4794577381	0.8114478114
24	0.4781987881	0.8114478114
25	0.4756788855	0.8097643098
26	0.473655958	0.8148148148
27	0.4720618105	0.8114478114
28	0.4686419105	0.8114478114
29	0.4650367856	0.8148148148
30	0.4612648871	0.8148148148
31	0.4593540201	0.8148148148
32	0.4559833349	0.8131313131
33	0.4529894358	0.8131313131
34	0.4502953487	0.8131313131
35	0.4460418712	0.8164983165
36	0.4437573326	0.8148148148
37	0.440858798	0.8198653199
38	0.438691312	0.8249158249
39	0.4366629491	0.8232323232
40	0.4349072793	0.8198653199
41	0.4319073408	0.8265993266
42	0.4304900516	0.8249158249
43	0.4283055402	0.8249158249
44	0.4260497454	0.8249158249
45	0.4238996078	0.8282828283
46	0.422641816	0.8265993266
47	0.4207632152	0.8265993266
48	0.4187064123	0.8249158249
49	0.4158719357	0.8249158249
50	0.4147394643	0.8249158249
51	0.4132117446	0.8265993266
52	0.4125191932	0.8265993266
53	0.4105671546	0.8265993266
54	0.4104023562	0.8265993266
55	0.4086900486	0.8282828283
56	0.4081949914	0.8282828283
57	0.4068364777	0.8265993266
58	0.4052188265	0.8265993266
59	0.4040885658	0.8265993266
60	0.4028070434	0.8265993266
61	0.402104628	0.82996633
62	0.399933183	0.8367003367
63	0.3996086965	0.8367003367
64	0.3987173704	0.8383838384
65	0.3975411088	0.8383838384
66	0.3964970631	0.8400673401
67	0.3953950603	0.8417508418
68	0.3941630814	0.8434343434
69	0.3936554363	0.8434343434
70	0.3925594904	0.8434343434
71	0.3920472418	0.8434343434
72	0.3895405335	0.8434343434
73	0.3886720083	0.8434343434
74	0.3871838939	0.8451178451
75	0.3868326571	0.8451178451
76	0.3867344594	0.8434343434
77	0.3859727745	0.8451178451
78	0.3849650182	0.8484848485
79	0.3843250082	0.8468013468
80	0.382652018	0.8468013468
81	0.3823270582	0.8468013468
82	0.3818787621	0.8468013468
83	0.3813682985	0.8484848485
84	0.3807258392	0.8484848485
85	0.3796826173	0.8518518519
86	0.3779238272	0.8518518519
87	0.3773582697	0.8518518519
88	0.3763996444	0.8535353535
89	0.3754541799	0.8569023569
90	0.3747162897	0.8585858586
91	0.3740062363	0.8585858586
92	0.3730835973	0.8602693603
93	0.3729245146	0.8602693603
94	0.3717468972	0.8602693603
95	0.3717439576	0.8602693603
96	0.370863257	0.8653198653
97	0.3703608464	0.8653198653
98	0.3698215116	0.8653198653
99	0.3694768279	0.8636363636
100	0.369474768	0.8636363636
101	0.3686551169	0.8653198653
102	0.3681002431	0.867003367
103	0.3679694496	0.867003367
104	0.367967892	0.867003367
105	0.3676302814	0.8636363636
106	0.3676153391	0.8636363636
107	0.3668358079	0.8653198653
108	0.3665225418	0.8653198653
109	0.3658468842	0.8636363636
110	0.3637856006	0.867003367
111	0.3628715344	0.8703703704
112	0.3618910216	0.8653198653
113	0.3610246817	0.8686868687
114	0.3605426777	0.8686868687
115	0.3597852185	0.8703703704
116	0.3589515263	0.8720538721
117	0.3578417188	0.8703703704
118	0.3575672058	0.8686868687
119	0.3569500983	0.8686868687
120	0.3563692498	0.8686868687
121	0.3561209604	0.8686868687
122	0.3541070697	0.8720538721
123	0.3539868568	0.8720538721
124	0.3535359599	0.8686868687
125	0.3529563335	0.8703703704
126	0.3525388589	0.8703703704
127	0.3510554228	0.8720538721
128	0.3505744844	0.8703703704
129	0.3505256558	0.8703703704
130	0.3496970736	0.8737373737
131	0.3483706151	0.8737373737
132	0.3477333786	0.8720538721
133	0.3470087667	0.8737373737
134	0.346697516	0.8737373737
135	0.3461554977	0.8754208754
136	0.3455683234	0.8754208754
137	0.3453380391	0.8771043771
138	0.3452918019	0.8771043771
139	0.3439940885	0.8771043771
140	0.3433286437	0.8754208754
141	0.3429392611	0.8754208754
142	0.3423658143	0.8754208754
143	0.3417053701	0.8787878788
144	0.3407265176	0.8771043771
145	0.3401655597	0.8771043771
146	0.3394916229	0.8787878788
147	0.3388701689	0.8787878788
148	0.3381788327	0.8787878788
149	0.3381788125	0.8787878788
150	0.3375470516	0.8804713805
151	0.3371687986	0.8804713805
152	0.3363895995	0.8787878788
153	0.3353094135	0.8838383838
154	0.3348590582	0.8838383838
155	0.3337183858	0.8838383838
156	0.3333683249	0.8838383838
157	0.3329926656	0.8838383838
158	0.3324790814	0.8838383838
159	0.3320198604	0.8838383838
160	0.3310725893	0.8838383838
161	0.3307325039	0.8838383838
162	0.329763601	0.8838383838
163	0.3293425529	0.8855218855
164	0.3287870627	0.8855218855
165	0.3284730626	0.8855218855
166	0.3281673738	0.8855218855
167	0.3276943924	0.8872053872
168	0.3273745928	0.8872053872
169	0.327219748	0.8872053872
170	0.3271319451	0.8872053872
171	0.3271319451	0.8872053872
172	0.326430397	0.8872053872
173	0.3260859649	0.8872053872
174	0.3256439099	0.8872053872
175	0.325169368	0.8872053872
176	0.3249762859	0.8888888889
177	0.3247077035	0.8888888889
178	0.3242168804	0.8888888889
179	0.3238933855	0.8888888889
180	0.3232565489	0.8905723906
181	0.3229274914	0.8905723906
182	0.3226007018	0.8905723906
183	0.3225584628	0.8888888889
184	0.3224526758	0.8888888889
185	0.3223348721	0.8888888889
186	0.3214538866	0.8905723906
187	0.3204577419	0.8939393939
188	0.3201892432	0.8939393939
189	0.3199529137	0.8939393939
190	0.3189489536	0.8956228956
191	0.3182689822	0.8973063973
192	0.3180185881	0.8956228956
193	0.3173193804	0.8956228956
194	0.3169650469	0.8973063973
195	0.3161908008	0.8973063973
196	0.3158193232	0.8973063973
197	0.3158144351	0.8973063973
198	0.3157374868	0.8973063973
199	0.3153304082	0.8973063973
200	0.3146866221	0.8973063973
201	0.3139690367	0.8973063973
202	0.3134991205	0.8956228956
203	0.3133313883	0.8973063973
204	0.3130021849	0.9006734007
205	0.3129806882	0.898989899
206	0.3124054186	0.8973063973
207	0.3119501608	0.8973063973
208	0.311596349	0.898989899
209	0.3115020759	0.898989899
210	0.3112406198	0.898989899
211	0.3108193932	0.898989899
212	0.3102791232	0.898989899
213	0.3102782677	0.898989899
214	0.3098372973	0.898989899
215	0.3095521007	0.898989899
216	0.3089351439	0.898989899
217	0.3089315759	0.898989899
218	0.3084008192	0.9006734007
219	0.3077614593	0.898989899
220	0.3069456892	0.898989899
221	0.3063456101	0.9006734007
222	0.3058490861	0.9023569024
223	0.3056555577	0.9023569024
224	0.3051698806	0.9006734007
225	0.3042512641	0.9006734007
226	0.3037276811	0.9006734007
227	0.3035897549	0.9006734007
228	0.3031670636	0.9006734007
229	0.3029258323	0.9006734007
230	0.3028505581	0.9006734007
231	0.301999902	0.9006734007
232	0.3016940749	0.9006734007
233	0.3015699859	0.9023569024
234	0.3012910345	0.9023569024
235	0.3007328175	0.9023569024
236	0.3005942898	0.9023569024
237	0.3005403904	0.9023569024
238	0.3004784644	0.9023569024
239	0.3004061267	0.9023569024
240	0.3000708151	0.9006734007
241	0.2997193092	0.9006734007
242	0.2996625601	0.9006734007
243	0.2995248873	0.9006734007
244	0.299347818	0.9006734007
245	0.2992153411	0.9006734007
246	0.2984819448	0.9023569024
247	0.2983040486	0.9023569024
248	0.297497288	0.9023569024
249	0.2973686082	0.9023569024
250	0.2971925701	0.9023569024
251	0.2964518909	0.9006734007
252	0.2961639712	0.9006734007
253	0.2960257683	0.9023569024
254	0.2956081546	0.9057239057
255	0.2946708703	0.9057239057
256	0.2945637234	0.9057239057
257	0.2942697811	0.9057239057
258	0.2936195077	0.9057239057
259	0.2934597134	0.9057239057
260	0.2933723027	0.9057239057
