iter	Passed	Remaining
0	7	7473
1	13	6862
2	17	5916
3	22	5688
4	24	4960
5	28	4693
6	33	4784
7	37	4640
8	40	4461
9	44	4452
10	49	4413
11	54	4478
12	58	4474
13	63	4473
14	67	4436
15	71	4377
16	75	4377
17	81	4456
18	83	4299
19	89	4385
20	93	4357
21	99	4441
22	105	4490
23	110	4504
24	113	4413
25	115	4311
26	122	4412
27	124	4309
28	128	4307
29	132	4282
30	138	4324
31	142	4296
32	148	4345
33	152	4341
34	155	4294
35	160	4291
36	165	4300
37	170	4313
38	174	4308
39	178	4273
40	181	4248
41	185	4226
42	188	4192
43	193	4200
44	197	4189
45	201	4171
46	204	4156
47	209	4155
48	213	4136
49	216	4119
50	221	4112
51	225	4106
52	227	4061
53	230	4044
54	232	3986
55	235	3967
56	238	3937
57	242	3936
58	246	3928
59	250	3924
60	254	3924
61	259	3919
62	262	3907
63	264	3873
64	269	3877
65	274	3881
66	278	3873
67	282	3870
68	286	3870
69	291	3868
70	295	3861
71	299	3857
72	304	3863
73	308	3854
74	311	3842
75	315	3834
76	317	3806
77	322	3814
78	326	3802
79	329	3793
80	333	3784
81	337	3778
82	341	3769
83	345	3762
84	349	3760
85	354	3763
86	358	3758
87	361	3749
88	366	3747
89	370	3744
90	373	3735
91	377	3729
92	381	3721
93	384	3703
94	388	3697
95	389	3669
96	393	3661
97	396	3652
98	401	3652
99	405	3645
100	405	3613
101	409	3606
102	413	3600
103	416	3586
104	417	3560
105	420	3549
106	423	3532
107	426	3526
108	431	3524
109	435	3523
110	439	3523
111	443	3514
112	447	3511
113	451	3506
114	455	3503
115	459	3502
116	463	3497
117	467	3493
118	471	3492
119	476	3490
120	479	3485
121	482	3472
122	486	3470
123	489	3456
124	493	3452
125	497	3449
126	501	3447
127	506	3449
128	511	3453
129	514	3441
130	518	3442
131	524	3446
132	528	3448
133	533	3450
134	538	3451
135	543	3451
136	548	3452
137	551	3445
138	554	3432
139	559	3435
140	564	3436
141	568	3436
142	573	3434
143	577	3434
144	583	3437
145	587	3438
146	592	3437
147	596	3436
148	601	3436
149	602	3414
150	608	3422
151	614	3430
152	620	3435
153	625	3434
154	629	3432
155	634	3433
156	638	3427
157	642	3424
158	646	3418
159	649	3411
160	653	3404
161	657	3400
162	661	3394
163	664	3386
164	668	3380
165	671	3375
166	675	3369
167	679	3363
168	683	3359
169	685	3346
170	689	3341
171	689	3321
172	693	3315
173	697	3311
174	701	3305
175	705	3301
176	708	3296
177	711	3287
178	715	3282
179	719	3277
180	723	3274
181	727	3269
182	731	3265
183	733	3252
184	736	3244
185	740	3238
186	744	3235
187	747	3228
188	751	3224
189	755	3218
190	758	3214
191	762	3209
192	765	3202
193	769	3198
194	774	3195
195	777	3190
196	781	3184
197	783	3171
198	785	3162
199	790	3160
200	793	3155
201	798	3153
202	802	3150
203	807	3150
204	811	3145
205	815	3142
206	819	3137
207	822	3131
208	826	3127
209	828	3117
210	832	3114
211	837	3111
212	841	3109
213	842	3096
214	847	3093
215	850	3088
216	854	3084
217	856	3070
218	859	3063
219	863	3060
220	866	3054
221	871	3053
222	875	3050
223	878	3044
224	883	3043
225	887	3039
226	891	3034
227	895	3030
228	898	3026
229	901	3018
230	905	3013
231	909	3009
232	913	3006
233	917	3002
234	920	2998
235	924	2994
236	928	2987
237	930	2980
238	934	2974
239	936	2964
240	940	2960
241	944	2958
242	948	2954
243	951	2949
244	963	2970
245	969	2970
246	972	2966
247	977	2963
248	980	2958
249	984	2952
250	987	2947
251	991	2942
252	995	2939
253	999	2934
254	1003	2930
255	1006	2924
256	1008	2915
257	1012	2912
258	1016	2909
259	1021	2906
