iter	Passed	Remaining
443	1243	1556
444	1245	1553
445	1248	1550
446	1251	1548
447	1254	1545
448	1257	1543
449	1260	1540
450	1263	1537
451	1265	1534
452	1268	1532
453	1272	1529
454	1275	1527
455	1278	1525
456	1282	1523
457	1285	1520
458	1288	1518
459	1291	1516
460	1294	1514
461	1298	1511
462	1301	1509
463	1304	1506
464	1307	1504
465	1311	1502
466	1314	1499
467	1318	1498
468	1322	1496
469	1325	1494
470	1329	1492
471	1332	1490
472	1335	1488
473	1339	1486
474	1343	1484
475	1346	1482
476	1350	1480
477	1354	1478
478	1357	1476
479	1360	1474
480	1363	1471
481	1366	1469
482	1369	1466
483	1373	1463
484	1375	1460
485	1378	1457
486	1382	1455
487	1385	1453
488	1387	1450
489	1390	1447
490	1393	1444
491	1397	1442
492	1400	1440
493	1403	1437
494	1406	1435
495	1410	1433
496	1413	1430
497	1417	1428
498	1420	1426
499	1424	1424
500	1426	1421
501	1429	1418
502	1432	1415
503	1435	1412
504	1438	1410
505	1441	1407
506	1444	1404
507	1447	1401
508	1450	1398
509	1453	1396
510	1455	1393
511	1459	1390
512	1462	1388
513	1466	1386
514	1469	1383
515	1471	1380
516	1474	1377
517	1477	1375
518	1480	1372
519	1484	1370
520	1487	1367
521	1490	1365
522	1493	1362
523	1496	1359
524	1499	1356
525	1502	1354
526	1506	1351
527	1509	1349
528	1512	1346
529	1516	1344
530	1519	1341
531	1522	1338
532	1524	1336
533	1528	1333
534	1531	1330
535	1534	1328
536	1537	1325
537	1540	1322
538	1542	1319
539	1546	1317
540	1549	1314
541	1552	1311
542	1554	1308
543	1557	1305
544	1561	1303
545	1563	1300
546	1566	1297
547	1568	1294
548	1572	1291
549	1575	1288
550	1578	1286
551	1581	1283
552	1583	1280
553	1586	1277
554	1589	1274
555	1592	1272
556	1595	1269
557	1598	1266
558	1602	1263
559	1605	1261
560	1608	1258
561	1612	1256
562	1615	1253
563	1618	1251
564	1621	1248
565	1624	1245
566	1627	1243
567	1630	1240
568	1633	1237
569	1637	1234
570	1640	1232
571	1643	1229
572	1646	1227
573	1650	1224
574	1655	1223
575	1657	1220
576	1661	1218
577	1664	1215
578	1667	1212
579	1671	1210
580	1674	1207
581	1679	1206
582	1683	1203
583	1685	1200
584	1688	1198
585	1692	1195
586	1694	1192
587	1697	1189
588	1700	1186
589	1703	1183
590	1706	1180
591	1709	1178
592	1712	1175
593	1716	1172
594	1719	1170
595	1721	1167
596	1725	1164
597	1728	1161
598	1730	1158
599	1733	1155
600	1736	1153
