iter	Logloss	Accuracy
0	0.6729744771	0.8215488215
1	0.6557767095	0.8232323232
2	0.6404446249	0.8282828283
3	0.626189799	0.8265993266
4	0.6122435884	0.8265993266
5	0.5950338006	0.8316498316
6	0.5823201403	0.8316498316
7	0.570139629	0.8316498316
8	0.5596100428	0.8316498316
9	0.5534542364	0.8265993266
10	0.5443869408	0.8265993266
11	0.5344009653	0.8265993266
12	0.5243725286	0.8265993266
13	0.518192565	0.8265993266
14	0.5096029826	0.8265993266
15	0.5029960048	0.8265993266
16	0.4957264761	0.8265993266
17	0.490330045	0.8265993266
18	0.4849349216	0.8265993266
19	0.4778173477	0.8265993266
20	0.472938027	0.8265993266
21	0.467427058	0.8265993266
22	0.463373576	0.8265993266
23	0.4589148181	0.8265993266
24	0.4547625239	0.8265993266
25	0.4495724289	0.82996633
26	0.4456262008	0.82996633
27	0.4425891638	0.8265993266
28	0.4411454384	0.8265993266
29	0.4380286199	0.82996633
30	0.4338181949	0.8265993266
31	0.4325342146	0.8265993266
32	0.4308651401	0.82996633
33	0.4294947407	0.82996633
34	0.4262868293	0.82996633
35	0.4246113009	0.8316498316
36	0.4211703343	0.8333333333
37	0.4182256742	0.8333333333
38	0.4167553865	0.835016835
39	0.4135312406	0.835016835
40	0.4124231309	0.8367003367
41	0.4103780205	0.8367003367
42	0.4089654264	0.8333333333
43	0.4056901852	0.8383838384
44	0.4025807107	0.8383838384
45	0.4003891716	0.8383838384
46	0.3998524137	0.8383838384
47	0.3962286868	0.8400673401
48	0.3945289219	0.8400673401
49	0.3937960604	0.8383838384
50	0.3920000369	0.8400673401
51	0.3910845045	0.8417508418
52	0.3893228526	0.8400673401
53	0.3875305811	0.8417508418
54	0.3856084054	0.8400673401
55	0.3832702855	0.8417508418
56	0.3823179391	0.8417508418
57	0.3820562345	0.8417508418
58	0.3803846844	0.8468013468
59	0.3797512965	0.8468013468
60	0.3786008796	0.8484848485
61	0.376529195	0.8501683502
62	0.3753708306	0.8501683502
63	0.3737057487	0.8501683502
64	0.3726506027	0.8535353535
65	0.3718509214	0.8535353535
66	0.3705130391	0.8552188552
67	0.3691436846	0.8552188552
68	0.368543083	0.8569023569
69	0.3685000853	0.8569023569
70	0.3662166401	0.8585858586
71	0.3655674466	0.8602693603
72	0.3649655157	0.8602693603
73	0.3637593806	0.8602693603
74	0.3622575551	0.861952862
75	0.3614731728	0.861952862
76	0.360501293	0.8602693603
77	0.3589507714	0.8602693603
78	0.3589377473	0.8602693603
79	0.3571998338	0.8602693603
80	0.3561705995	0.8602693603
81	0.3552604114	0.8602693603
82	0.3542102468	0.8602693603
83	0.3534701526	0.8602693603
84	0.352863133	0.8602693603
85	0.3526090122	0.8602693603
86	0.3522140219	0.8602693603
87	0.3513464743	0.8585858586
88	0.3503443056	0.8585858586
89	0.3495074028	0.8585858586
90	0.3482118844	0.8602693603
91	0.3474234296	0.8585858586
92	0.3471178552	0.8585858586
93	0.3463075222	0.8585858586
94	0.3456756274	0.861952862
95	0.3451650478	0.861952862
96	0.3451065637	0.861952862
97	0.343376865	0.8636363636
98	0.3423001057	0.8653198653
99	0.3413815389	0.8653198653
100	0.340373761	0.8653198653
101	0.3398621002	0.867003367
102	0.3398615132	0.867003367
103	0.3392811437	0.867003367
104	0.3392687836	0.867003367
